iter	Passed	Remaining
1106	16911	59473
1107	16926	59458
1108	16944	59449
1109	16957	59426
1110	16970	59405
1111	16984	59384
1112	16999	59368
1113	17014	59351
1114	17028	59333
1115	17043	59315
1116	17056	59293
1117	17070	59271
1118	17083	59250
1119	17097	59228
1120	17111	59210
1121	17126	59193
1122	17140	59173
1123	17153	59153
1124	17167	59132
1125	17180	59110
1126	17192	59084
1127	17206	59062
1128	17220	59044
1129	17234	59025
1130	17249	59009
1131	17263	58990
1132	17278	58972
1133	17292	58952
1134	17306	58932
1135	17320	58912
1136	17337	58904
1137	17350	58882
1138	17364	58863
1139	17378	58842
1140	17391	58818
1141	17404	58797
1142	17417	58773
1143	17431	58754
1144	17444	58732
1145	17457	58709
1146	17471	58689
1147	17483	58665
1148	17498	58648
1149	17510	58623
1150	17524	58601
1151	17537	58579
1152	17550	58557
1153	17563	58534
1154	17577	58516
1155	17590	58492
1156	17606	58479
1157	17620	58459
1158	17644	58476
1159	17662	58467
1160	17680	58462
1161	17698	58456
1162	17715	58448
1163	17731	58434
1164	17746	58419
1165	17761	58402
1166	17774	58381
1167	17789	58364
1168	17802	58340
1169	17816	58323
1170	17832	58308
1171	17846	58289
1172	17861	58275
1173	17876	58258
1174	17892	58245
1175	17907	58230
1176	17922	58213
1177	17937	58196
1178	17951	58177
1179	17966	58163
1180	17982	58148
1181	17996	58130
1182	18012	58117
1183	18027	58101
1184	18042	58086
1185	18057	58070
1186	18072	58053
1187	18087	58037
1188	18102	58022
1189	18115	57998
1190	18130	57983
1191	18144	57965
1192	18159	57948
1193	18175	57934
1194	18188	57912
1195	18202	57893
1196	18217	57879
1197	18232	57862
1198	18249	57853
1199	18266	57842
1200	18281	57827
1201	18297	57816
1202	18312	57800
1203	18326	57779
1204	18341	57765
1205	18354	57743
1206	18367	57720
1207	18379	57695
1208	18394	57679
1209	18409	57662
1210	18423	57643
1211	18437	57625
1212	18449	57600
1213	18462	57578
1214	18477	57560
1215	18489	57535
1216	18502	57515
1217	18516	57494
1218	18530	57476
1219	18542	57450
1220	18556	57433
1221	18569	57410
1222	18582	57388
1223	18597	57373
1224	18610	57350
1225	18630	57349
1226	18644	57332
1227	18659	57315
1228	18674	57299
1229	18688	57280
1230	18702	57262
1231	18725	57271
1232	18750	57284
1233	18766	57272
1234	18780	57254
1235	18793	57232
1236	18807	57214
1237	18824	57202
1238	18839	57188
1239	18853	57168
1240	18867	57149
1241	18880	57127
1242	18894	57107
1243	18908	57088
1244	18922	57072
1245	18937	57055
1246	18951	57036
1247	18965	57016
1248	18979	57000
1249	18992	56976
1250	19006	56959
1251	19021	56942
1252	19036	56927
1253	19050	56908
1254	19066	56895
1255	19079	56872
1256	19093	56856
1257	19107	56836
1258	19122	56820
1259	19135	56799
1260	19150	56782
1261	19164	56764
1262	19177	56744
1263	19191	56723
1264	19208	56713
1265	19223	56699
1266	19238	56682
1267	19254	56670
1268	19266	56646
1269	19280	56626
1270	19294	56607
1271	19308	56589
1272	19322	56571
1273	19336	56551
1274	19350	56533
1275	19362	56509
1276	19375	56488
1277	19390	56472
1278	19404	56454
1279	19419	56436
1280	19432	56416
1281	19444	56393
1282	19457	56370
1283	19470	56348
1284	19483	56327
1285	19497	56308
1286	19511	56290
1287	19524	56270
1288	19539	56253
1289	19552	56233
1290	19565	56211
1291	19580	56196
1292	19594	56178
1293	19607	56155
1294	19621	56138
1295	19636	56121
1296	19651	56105
1297	19665	56086
1298	19678	56065
1299	19691	56044
1300	19704	56024
1301	19718	56006
1302	19733	55988
1303	19748	55974
1304	19762	55956
1305	19775	55935
1306	19790	55918
1307	19802	55896
1308	19816	55875
1309	19829	55855
1310	19844	55840
1311	19856	55816
1312	19871	55802
1313	19885	55782
1314	19898	55761
1315	19913	55746
1316	19927	55726
1317	19941	55709
1318	19955	55690
1319	19969	55673
1320	19983	55655
1321	19997	55637
1322	20013	55622
1323	20028	55606
1324	20042	55590
1325	20056	55569
1326	20069	55549
1327	20082	55528
1328	20096	55511
1329	20111	55496
1330	20126	55479
1331	20140	55462
1332	20154	55443
1333	20168	55425
1334	20184	55411
1335	20198	55394
1336	20211	55373
1337	20226	55357
1338	20240	55340
1339	20255	55324
1340	20268	55305
1341	20281	55282
1342	20295	55265
1343	20312	55254
1344	20326	55235
1345	20338	55213
1346	20352	55195
1347	20365	55174
1348	20379	55154
1349	20391	55133
1350	20405	55113
1351	20418	55093
1352	20430	55071
1353	20443	55049
1354	20458	55032
1355	20471	55012
1356	20483	54989
1357	20496	54968
1358	20510	54950
1359	20522	54926
1360	20535	54907
1361	20550	54890
1362	20563	54871
1363	20577	54853
1364	20590	54833
1365	20610	54829
1366	20627	54821
1367	20641	54801
1368	20654	54782
1369	20667	54761
1370	20681	54744
1371	20694	54723
1372	20709	54707
1373	20723	54688
1374	20737	54670
1375	20749	54649
1376	20763	54630
1377	20777	54613
1378	20790	54592
1379	20804	54575
1380	20818	54557
1381	20833	54539
1382	20846	54519
1383	20861	54504
1384	20874	54484
1385	20888	54466
1386	20902	54449
1387	20915	54429
1388	20930	54413
1389	20944	54395
1390	20958	54376
1391	20972	54358
1392	20988	54345
1393	21002	54328
1394	21016	54310
1395	21030	54292
1396	21042	54271
1397	21057	54255
1398	21073	54242
1399	21087	54226
1400	21102	54209
1401	21116	54191
1402	21129	54171
1403	21144	54157
1404	21159	54141
1405	21175	54127
1406	21188	54107
1407	21202	54089
1408	21215	54069
1409	21228	54049
1410	21241	54030
1411	21256	54013
1412	21270	53996
1413	21282	53974
1414	21297	53958
1415	21310	53939
1416	21322	53916
1417	21336	53898
1418	21349	53877
1419	21361	53855
1420	21376	53841
1421	21390	53822
1422	21403	53801
1423	21416	53781
1424	21428	53759
1425	21441	53739
1426	21455	53721
1427	21468	53701
1428	21481	53681
1429	21493	53659
1430	21507	53640
1431	21519	53619
1432	21532	53598
1433	21545	53579
1434	21560	53563
1435	21574	53546
1436	21595	53544
1437	21607	53523
1438	21622	53508
1439	21636	53489
1440	21649	53471
1441	21664	53454
1442	21677	53436
1443	21691	53418
1444	21706	53401
1445	21719	53382
1446	21734	53368
1447	21750	53353
1448	21763	53334
1449	21777	53317
1450	21792	53301
1451	21806	53285
1452	21822	53271
1453	21834	53250
1454	21849	53235
1455	21863	53218
1456	21877	53200
1457	21891	53182
1458	21906	53166
1459	21921	53152
1460	21935	53135
1461	21950	53118
1462	21966	53105
1463	21980	53089
1464	21997	53078
1465	22010	53060
1466	22024	53041
1467	22037	53021
1468	22051	53004
1469	22065	52988
1470	22081	52975
1471	22096	52959
1472	22110	52941
1473	22125	52926
1474	22142	52915
1475	22156	52899
1476	22174	52891
1477	22189	52876
1478	22203	52859
1479	22221	52850
1480	22238	52840
1481	22252	52823
1482	22272	52820
1483	22288	52806
1484	22306	52799
1485	22321	52784
1486	22336	52769
1487	22351	52753
1488	22367	52742
1489	22383	52728
1490	22397	52710
1491	22411	52692
1492	22425	52675
1493	22438	52655
1494	22452	52639
1495	22464	52617
1496	22477	52597
1497	22492	52582
1498	22506	52566
1499	22519	52545
1500	22533	52528
1501	22549	52514
1502	22571	52516
1503	22586	52501
1504	22602	52488
1505	22617	52474
1506	22635	52466
1507	22649	52448
1508	22666	52438
1509	22682	52425
1510	22698	52412
1511	22712	52394
1512	22727	52379
1513	22743	52366
1514	22757	52350
1515	22773	52336
1516	22789	52324
1517	22804	52310
1518	22820	52296
1519	22835	52282
1520	22849	52263
1521	22864	52249
1522	22881	52237
1523	22894	52218
1524	22910	52205
1525	22924	52188
1526	22939	52173
1527	22954	52158
1528	22969	52142
1529	22984	52128
1530	22999	52112
1531	23018	52106
1532	23035	52095
1533	23049	52079
1534	23064	52064
1535	23078	52047
1536	23092	52029
1537	23106	52011
1538	23120	51994
1539	23134	51976
1540	23152	51968
1541	23166	51952
1542	23181	51936
1543	23196	51922
1544	23211	51906
1545	23228	51895
1546	23243	51881
1547	23258	51866
1548	23274	51853
1549	23287	51833
1550	23301	51815
1551	23313	51793
1552	23327	51776
1553	23339	51754
1554	23353	51739
1555	23366	51719
1556	23380	51701
1557	23393	51682
1558	23407	51665
1559	23420	51645
1560	23433	51626
1561	23446	51606
1562	23460	51589
1563	23473	51569
1564	23485	51548
1565	23497	51525
1566	23511	51508
1567	23523	51487
1568	23538	51472
1569	23553	51457
1570	23572	51450
1571	23587	51435
1572	23603	51423
1573	23617	51405
1574	23632	51391
1575	23647	51375
1576	23661	51359
1577	23675	51342
1578	23689	51323
1579	23703	51306
1580	23718	51292
1581	23734	51280
1582	23748	51262
1583	23762	51245
1584	23777	51229
1585	23790	51210
1586	23804	51194
1587	23818	51176
1588	23832	51159
1589	23846	51143
1590	23864	51132
1591	23883	51126
1592	23898	51113
1593	23912	51094
1594	23926	51077
1595	23939	51059
1596	23955	51046
1597	23970	51031
1598	23984	51014
1599	23999	50997
1600	24013	50981
1601	24027	50964
1602	24042	50950
1603	24057	50934
1604	24072	50919
1605	24084	50899
1606	24099	50883
1607	24114	50868
1608	24130	50854
1609	24145	50839
1610	24159	50823
1611	24174	50808
1612	24188	50791
1613	24201	50772
1614	24220	50764
1615	24233	50746
1616	24247	50728
1617	24261	50712
1618	24277	50698
1619	24291	50682
1620	24304	50662
1621	24316	50640
1622	24329	50623
1623	24342	50603
1624	24358	50590
1625	24370	50569
1626	24383	50550
1627	24396	50532
1628	24410	50514
1629	24424	50497
